filename,,name,filename,original_shape,transformed_shape,params,reduction_time,accuracy,train_time,score_series
"1000_0_(-500, 500)",79,extremely sparse JL transform,"1000_0_(-500, 500)","(10000, 1000)","(10110, 2866)","{'ep': 0.05, 'de': 0.1}",0.397084463,1.0,1.93329843,200.0
"1000_0_(-500, 500)",117,sparse JL transform,"1000_0_(-500, 500)","(10000, 10000)","(10110, 221)","{'ep': 0.5, 'de': 0.1}",0.913587323,0.98,0.376675492,180.78415936
"1000_0_(-500, 500)",150,JL transform,"1000_0_(-500, 500)","(10000, 20000)","(10110, 287)","{'ep': 0.5, 'de': 0.05}",1.909156516,1.0,0.424883529,100.0
"1000_0_(-500, 500)",157,extremely sparse JL transform,"1000_0_(-500, 500)","(20000, 1000)","(20110, 3056)","{'ep': 0.05, 'de': 0.1}",0.787105624,1.0,2.86091151,200.0
"1000_0_(-500, 500)",203,JL transform,"1000_0_(-500, 500)","(20000, 10000)","(20110, 221)","{'ep': 0.5, 'de': 0.1}",1.605563566,0.98,0.375391563,90.39207968
"1000_0_(-500, 500)",246,sparse JL transform,"1000_0_(-500, 500)","(20000, 20000)","(20110, 287)","{'ep': 0.5, 'de': 0.05}",3.631136761,1.0,0.445093008,50.0
"100_0.33_(-100, 100)",0,extremely sparse JL transform,"100_0.33_(-100, 100)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.019330874,1.0,0.488382619,200.0
"100_0.33_(-100, 100)",26,extremely sparse JL transform,"100_0.33_(-100, 100)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.123518432,1.0,0.707908415,200.0
"100_0.33_(-100, 100)",52,extremely sparse JL transform,"100_0.33_(-100, 100)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.238436963,1.0,0.613598804,200.0
"100_0.33_(-100, 100)",79,extremely sparse JL transform,"100_0.33_(-100, 100)","(10000, 1000)","(10110, 2866)","{'ep': 0.05, 'de': 0.1}",0.344278405,1.0,1.793386929,200.0
"100_0.33_(-100, 100)",117,sparse JL transform,"100_0.33_(-100, 100)","(10000, 10000)","(10110, 221)","{'ep': 0.5, 'de': 0.1}",0.819436772,1.0,0.278381387,200.0
"100_0.33_(-100, 100)",145,sparse JL transform,"100_0.33_(-100, 100)","(10000, 20000)","(10110, 68)","{'ep': 0.9, 'de': 0.1}",0.94045146,0.97,0.253476231,171.74680514
"100_0.33_(-100, 100)",157,extremely sparse JL transform,"100_0.33_(-100, 100)","(20000, 1000)","(20110, 3056)","{'ep': 0.05, 'de': 0.1}",0.732778443,1.0,2.432947695,200.0
"100_0.33_(-100, 100)",197,sparse JL transform,"100_0.33_(-100, 100)","(20000, 10000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",0.930508398,0.99,0.250571253,190.19800998
"100_0.33_(-100, 100)",223,sparse JL transform,"100_0.33_(-100, 100)","(20000, 20000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",1.820849397,1.0,0.307548456,100.0
"100_0.33_(-1000, 1000)",0,extremely sparse JL transform,"100_0.33_(-1000, 1000)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.016533465,1.0,0.537157073,200.0
"100_0.33_(-1000, 1000)",26,extremely sparse JL transform,"100_0.33_(-1000, 1000)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.128038959,1.0,0.8540813,200.0
"100_0.33_(-1000, 1000)",52,extremely sparse JL transform,"100_0.33_(-1000, 1000)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.263156371,1.0,0.980218966,200.0
"100_0.33_(-1000, 1000)",78,extremely sparse JL transform,"100_0.33_(-1000, 1000)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.37257024,1.0,1.54631085,200.0
"100_0.33_(-1000, 1000)",117,sparse JL transform,"100_0.33_(-1000, 1000)","(10000, 10000)","(10110, 221)","{'ep': 0.5, 'de': 0.1}",0.883491489,1.0,0.329000526,200.0
"100_0.33_(-1000, 1000)",145,sparse JL transform,"100_0.33_(-1000, 1000)","(10000, 20000)","(10110, 68)","{'ep': 0.9, 'de': 0.1}",0.886840366,1.0,0.202620878,200.0
"100_0.33_(-1000, 1000)",156,extremely sparse JL transform,"100_0.33_(-1000, 1000)","(20000, 1000)","(20110, 3151)","{'ep': 0.05, 'de': 0.05}",0.705113741,1.0,2.876511996,200.0
"100_0.33_(-1000, 1000)",205,JL transform,"100_0.33_(-1000, 1000)","(20000, 10000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",0.917774291,1.0,0.216767446,200.0
"100_0.33_(-1000, 1000)",221,sparse JL transform,"100_0.33_(-1000, 1000)","(20000, 20000)","(20110, 221)","{'ep': 0.5, 'de': 0.1}",2.907769097,1.0,0.340693601,66.66666666666667
"100_0.33_(-500, 500)",0,extremely sparse JL transform,"100_0.33_(-500, 500)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.016259284,1.0,0.523150435,200.0
"100_0.33_(-500, 500)",26,extremely sparse JL transform,"100_0.33_(-500, 500)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.120910244,1.0,0.96729437,200.0
"100_0.33_(-500, 500)",52,extremely sparse JL transform,"100_0.33_(-500, 500)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.246436745,1.0,0.774127104,200.0
"100_0.33_(-500, 500)",78,extremely sparse JL transform,"100_0.33_(-500, 500)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.404613387,1.0,1.804644637,200.0
"100_0.33_(-500, 500)",116,sparse JL transform,"100_0.33_(-500, 500)","(10000, 10000)","(10110, 287)","{'ep': 0.5, 'de': 0.05}",0.856641605,1.0,0.28579304,200.0
"100_0.33_(-500, 500)",142,sparse JL transform,"100_0.33_(-500, 500)","(10000, 20000)","(10110, 287)","{'ep': 0.5, 'de': 0.05}",1.819322981,1.0,0.239158059,100.0
"100_0.33_(-500, 500)",156,extremely sparse JL transform,"100_0.33_(-500, 500)","(20000, 1000)","(20110, 3151)","{'ep': 0.05, 'de': 0.05}",0.702275909,1.0,3.055093301,200.0
"100_0.33_(-500, 500)",194,sparse JL transform,"100_0.33_(-500, 500)","(20000, 10000)","(20110, 287)","{'ep': 0.5, 'de': 0.05}",1.785401777,1.0,0.41266209,100.0
